DATA;ORA;OPEN;HIGH;LOW;CLOSE;N
04/05/2004;00:00;1.1937;1.2121;1.1928;1.2098;0
05/05/2004;00:00;1.2109;1.218;1.2098;1.216;0
06/05/2004;00:00;1.2159;1.2175;1.2063;1.2065;0
07/05/2004;00:00;1.2067;1.2146;1.1877;1.189;0
10/05/2004;00:00;1.1896;1.1901;1.1813;1.1827;0
11/05/2004;00:00;1.1825;1.189;1.1788;1.1865;0
12/05/2004;00:00;1.1861;1.1943;1.1836;1.1905;0
13/05/2004;00:00;1.1907;1.1931;1.1772;1.1811;0
14/05/2004;00:00;1.1805;1.1903;1.1781;1.1888;0
17/05/2004;00:00;1.1888;1.2061;1.1879;1.2011;0
18/05/2004;00:00;1.2017;1.204;1.193;1.1948;0
19/05/2004;00:00;1.1951;1.2045;1.1937;1.2012;0
20/05/2004;00:00;1.2017;1.202;1.1895;1.1965;0
21/05/2004;00:00;1.196;1.2072;1.1953;1.1981;0
24/05/2004;00:00;1.1981;1.2025;1.1933;1.201;0
25/05/2004;00:00;1.2008;1.2128;1.1986;1.2095;0
26/05/2004;00:00;1.2104;1.2145;1.2078;1.2111;0
27/05/2004;00:00;1.2114;1.2291;1.2084;1.2264;0
28/05/2004;00:00;1.2266;1.2298;1.2202;1.2222;0
31/05/2004;00:00;1.2222;1.2254;1.218;1.2185;0
01/06/2004;00:00;1.2189;1.2267;1.2156;1.2244;0
02/06/2004;00:00;1.2238;1.2307;1.2207;1.2209;0
03/06/2004;00:00;1.2203;1.2253;1.217;1.2219;0
04/06/2004;00:00;1.2217;1.2331;1.2138;1.2284;0
07/06/2004;00:00;1.2284;1.2338;1.2272;1.232;0
08/06/2004;00:00;1.2322;1.2354;1.2246;1.2251;0
09/06/2004;00:00;1.2259;1.2276;1.2035;1.204;0
10/06/2004;00:00;1.2026;1.2118;1.2023;1.211;0
11/06/2004;00:00;1.2113;1.2115;1.1966;1.2007;0
14/06/2004;00:00;1.2007;1.2089;1.1955;1.2051;0
15/06/2004;00:00;1.2058;1.217;1.203;1.2157;0
16/06/2004;00:00;1.2157;1.217;1.1981;1.2005;0
17/06/2004;00:00;1.2004;1.2079;1.1994;1.2037;0
18/06/2004;00:00;1.2039;1.2148;1.1974;1.214;0
21/06/2004;00:00;1.214;1.2148;1.2077;1.211;0
22/06/2004;00:00;1.2108;1.2134;1.2067;1.2113;0
23/06/2004;00:00;1.2114;1.2194;1.2066;1.2092;0
24/06/2004;00:00;1.2091;1.219;1.2042;1.2183;0
25/06/2004;00:00;1.2183;1.2191;1.2107;1.2178;0
28/06/2004;00:00;1.2179;1.223;1.2122;1.2181;0
29/06/2004;00:00;1.2183;1.2193;1.2069;1.2074;0
30/06/2004;00:00;1.2078;1.2206;1.2067;1.2186;0
01/07/2004;00:00;1.2182;1.2211;1.2132;1.2147;0
02/07/2004;00:00;1.2155;1.2328;1.2142;1.2319;0
05/07/2004;00:00;1.2319;1.2337;1.227;1.2281;0
06/07/2004;00:00;1.2284;1.233;1.2265;1.2286;0
07/07/2004;00:00;1.2287;1.239;1.2274;1.2363;0
08/07/2004;00:00;1.2363;1.2407;1.2341;1.2389;0
09/07/2004;00:00;1.2392;1.2424;1.237;1.2418;0
12/07/2004;00:00;1.2416;1.2437;1.2384;1.2412;0
13/07/2004;00:00;1.2411;1.2412;1.2301;1.2339;0
14/07/2004;00:00;1.2337;1.2422;1.2318;1.238;0
15/07/2004;00:00;1.2385;1.2395;1.2328;1.2355;0
16/07/2004;00:00;1.2357;1.246;1.2328;1.2452;0
19/07/2004;00:00;1.2452;1.2462;1.2399;1.2442;0
20/07/2004;00:00;1.2444;1.2455;1.23;1.2326;0
21/07/2004;00:00;1.2326;1.2351;1.2212;1.2274;0
22/07/2004;00:00;1.2274;1.2293;1.2233;1.2255;0
23/07/2004;00:00;1.2251;1.2267;1.2089;1.2092;0
26/07/2004;00:00;1.2093;1.2172;1.2089;1.2147;0
27/07/2004;00:00;1.2147;1.219;1.2036;1.206;0
28/07/2004;00:00;1.2057;1.208;1.2;1.2051;0
29/07/2004;00:00;1.2056;1.2097;1.1991;1.2039;0
30/07/2004;00:00;1.2038;1.212;1.2003;1.2017;0
02/08/2004;00:00;1.2017;1.2095;1.2016;1.2024;0
03/08/2004;00:00;1.2024;1.2077;1.1995;1.2049;0
04/08/2004;00:00;1.205;1.2069;1.197;1.205;0
05/08/2004;00:00;1.2049;1.2075;1.2021;1.2055;0
06/08/2004;00:00;1.2055;1.2292;1.2045;1.2278;0
09/08/2004;00:00;1.2282;1.2291;1.2246;1.2266;0
10/08/2004;00:00;1.2269;1.232;1.2223;1.2224;0
11/08/2004;00:00;1.2225;1.225;1.2196;1.2222;0
12/08/2004;00:00;1.2223;1.2304;1.2216;1.2252;0
13/08/2004;00:00;1.2248;1.2379;1.2176;1.237;0
16/08/2004;00:00;1.2372;1.2386;1.2316;1.2359;0
17/08/2004;00:00;1.2354;1.2389;1.231;1.2352;0
18/08/2004;00:00;1.2351;1.2366;1.2284;1.2328;0
19/08/2004;00:00;1.2336;1.238;1.2334;1.2365;0
20/08/2004;00:00;1.2367;1.2382;1.2279;1.2316;0
23/08/2004;00:00;1.2317;1.2324;1.2132;1.2136;0
24/08/2004;00:00;1.2135;1.2168;1.206;1.2079;0
25/08/2004;00:00;1.2135;1.2135;1.2053;1.2084;0
